title,date,category,area
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",fatal traffic crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",five year old dead,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",winnipeg,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg crime,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg police,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg traffic,Dalhousie DR
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",Crime,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",east end meats,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",Transcona,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",transcona crime,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",tunneling,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",Winnipeg crime,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",Crime,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",east end meats,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",Transcona,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",transcona crime,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",tunneling,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",Winnipeg crime,Transcona
Winnipeg’s 23rd homicide victim identified as Chad McKenzie,"Tue, 18 Jun 2019 10:07:10 CDT",Crime,West End
Winnipeg’s 23rd homicide victim identified as Chad McKenzie,"Tue, 18 Jun 2019 10:07:10 CDT",Chad McKenzie,West End
Winnipeg’s 23rd homicide victim identified as Chad McKenzie,"Tue, 18 Jun 2019 10:07:10 CDT",John M. King elementary school,West End
Winnipeg’s 23rd homicide victim identified as Chad McKenzie,"Tue, 18 Jun 2019 10:07:10 CDT",West End,West End
Winnipeg’s 23rd homicide victim identified as Chad McKenzie,"Tue, 18 Jun 2019 10:07:10 CDT",Winnipeg crime,West End
Winnipeg’s 23rd homicide victim identified as Chad McKenzie,"Tue, 18 Jun 2019 10:07:10 CDT",Winnipeg homicide,West End
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Crime,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Fire,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Homicide,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Manitoba Avenue Fire,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",manitoba avenue homicide,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Winnipeg crime,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Winnipeg fire,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Winnipeg police,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Crime,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Fire,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Homicide,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Manitoba Avenue Fire,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",manitoba avenue homicide,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Winnipeg crime,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Winnipeg fire,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Winnipeg police,Manitoba AVE
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Traffic,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",child dead Dalhousie Drive,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Dalhousie Drive,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Dalhousie Drive crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",fatal crash dalhousie,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",fatal traffic crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",five year old dead,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",winnipeg,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg crime,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg police,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg traffic,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Traffic,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",child dead Dalhousie Drive,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Dalhousie Drive,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Dalhousie Drive crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",fatal crash dalhousie,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",fatal traffic crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",five year old dead,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",winnipeg,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg crime,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg police,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg traffic,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Traffic,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",child dead Dalhousie Drive,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Dalhousie Drive,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Dalhousie Drive crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",fatal crash dalhousie,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",fatal traffic crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",five year old dead,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",winnipeg,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg crime,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg police,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg traffic,Dalhousie DR
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",Crime,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",east end meats,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",Transcona,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",transcona crime,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",tunneling,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",Winnipeg crime,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",Crime,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",east end meats,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",Transcona,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",transcona crime,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",tunneling,Transcona
"Thief tunnels through outside wall to steal sausage, knife from Transcona butcher shop","Tue, 18 Jun 2019 11:06:10 CDT",Winnipeg crime,Transcona
Winnipeg’s 23rd homicide victim identified as Chad McKenzie,"Tue, 18 Jun 2019 10:07:10 CDT",Crime,West End
Winnipeg’s 23rd homicide victim identified as Chad McKenzie,"Tue, 18 Jun 2019 10:07:10 CDT",Chad McKenzie,West End
Winnipeg’s 23rd homicide victim identified as Chad McKenzie,"Tue, 18 Jun 2019 10:07:10 CDT",John M. King elementary school,West End
Winnipeg’s 23rd homicide victim identified as Chad McKenzie,"Tue, 18 Jun 2019 10:07:10 CDT",West End,West End
Winnipeg’s 23rd homicide victim identified as Chad McKenzie,"Tue, 18 Jun 2019 10:07:10 CDT",Winnipeg crime,West End
Winnipeg’s 23rd homicide victim identified as Chad McKenzie,"Tue, 18 Jun 2019 10:07:10 CDT",Winnipeg homicide,West End
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Crime,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Fire,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Homicide,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Manitoba Avenue Fire,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",manitoba avenue homicide,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Winnipeg crime,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Winnipeg fire,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Winnipeg police,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Crime,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Fire,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Homicide,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Manitoba Avenue Fire,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",manitoba avenue homicide,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Winnipeg crime,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Winnipeg fire,Manitoba AVE
"Manitoba Avenue house fire deliberately set, say police, marking city’s 21st homicide","Wed, 05 Jun 2019 11:55:16 CDT",Winnipeg police,Manitoba AVE
3 Winnipeg men charged after victims chase down armed robbery suspects,"Tue, 02 Jul 2019 12:34:53 CDT",Crime,Cumberland AVE
3 Winnipeg men charged after victims chase down armed robbery suspects,"Tue, 02 Jul 2019 12:34:53 CDT",Brennan James Lamirande,Cumberland AVE
3 Winnipeg men charged after victims chase down armed robbery suspects,"Tue, 02 Jul 2019 12:34:53 CDT",Kenny Walter Young,Cumberland AVE
3 Winnipeg men charged after victims chase down armed robbery suspects,"Tue, 02 Jul 2019 12:34:53 CDT",Tyson Stewart McPherson,Cumberland AVE
3 Winnipeg men charged after victims chase down armed robbery suspects,"Tue, 02 Jul 2019 12:34:53 CDT",Winnipeg crime,Cumberland AVE
3 Winnipeg men charged after victims chase down armed robbery suspects,"Tue, 02 Jul 2019 12:34:53 CDT",Winnipeg police,Cumberland AVE
3 Winnipeg men charged after victims chase down armed robbery suspects,"Tue, 02 Jul 2019 12:34:53 CDT",Winnipeg robbery,Cumberland AVE
3 Winnipeg men charged after victims chase down armed robbery suspects,"Tue, 02 Jul 2019 12:34:53 CDT",Winnipeg robbery Cumberland Avenue,Cumberland AVE
No arrests made in West End shooting,"Mon, 15 Jul 2019 13:14:14 CDT",Crime,West End
No arrests made in West End shooting,"Mon, 15 Jul 2019 13:14:14 CDT",News,West End
No arrests made in West End shooting,"Mon, 15 Jul 2019 13:14:14 CDT",man shot,West End
No arrests made in West End shooting,"Mon, 15 Jul 2019 13:14:14 CDT",Shooting,West End
No arrests made in West End shooting,"Mon, 15 Jul 2019 13:14:14 CDT",West End,West End
No arrests made in West End shooting,"Mon, 15 Jul 2019 13:14:14 CDT",Winnipeg crime,West End
No arrests made in West End shooting,"Mon, 15 Jul 2019 13:14:14 CDT",Winnipeg Police Service,West End
Winnipeg police apologize for taking photo of vulnerable citizen on bus bench,"Wed, 17 Jul 2019 13:45:23 CDT",Crime,Grant AVE
Winnipeg police apologize for taking photo of vulnerable citizen on bus bench,"Wed, 17 Jul 2019 13:45:23 CDT",Const. Rob Carver,Grant AVE
Winnipeg police apologize for taking photo of vulnerable citizen on bus bench,"Wed, 17 Jul 2019 13:45:23 CDT",controversial photo,Grant AVE
Winnipeg police apologize for taking photo of vulnerable citizen on bus bench,"Wed, 17 Jul 2019 13:45:23 CDT",Grant Avenue,Grant AVE
Winnipeg police apologize for taking photo of vulnerable citizen on bus bench,"Wed, 17 Jul 2019 13:45:23 CDT",Winnipeg crime,Grant AVE
Winnipeg police apologize for taking photo of vulnerable citizen on bus bench,"Wed, 17 Jul 2019 13:45:23 CDT",Winnipeg Fire Paramedic Service,Grant AVE
Winnipeg police apologize for taking photo of vulnerable citizen on bus bench,"Wed, 17 Jul 2019 13:45:23 CDT",Winnipeg Fire Service,Grant AVE
