address,mod_address,long,lat
Aikman PL Manitoba,"Aikman Pl, Winnipeg, MB R3R, Canada",-97.272943,49.8504403
Aimes RD Manitoba,"Aimes Rd, Winnipeg, MB R3X 1V4, Canada",-97.0638604,49.8102563
Ainsdale Way Manitoba,"Ainsdale Way, Winnipeg, MB R2C, Canada",-96.9728195,49.9024276
Ainslie ST Manitoba,"Ainslie St, Winnipeg, MB R3J, Canada",-97.261145,49.880005
Ainsworth PL Manitoba,"Ainsworth Pl, Winnipeg, MB R3T, Canada",-97.1630995,49.78686500000001
Aintree CR Manitoba,"Aintree Crescent, Winnipeg, MB R3T, Canada",-97.1713743,49.7821553
Air Force Way Manitoba,"Air Force Way, Winnipeg, MB R3J, Canada",-97.2372742,49.8878943
Airlies ST Manitoba,"Airlies St, Winnipeg, MB, Canada",-97.1513772,49.9385772
Airport RD Manitoba,"Thompson Airport, 1 Airport Rd, Thompson, MB R8N 1M9, Canada",-97.8629339,55.8003067
Albany ST Manitoba,"Albany St, Winnipeg, MB R3J, Canada",-97.2253995,49.8820094
Alberhill CR Manitoba,"Alberhill Crescent, Winnipeg, MB R2G, Canada",-97.0473933,49.93313939999999
Albert ST Manitoba,"Albert St, Winnipeg, MB R3B, Canada",-97.1403167,49.8970637
Albina Way Manitoba,"Albina Way, Winnipeg, MB R2R, Canada",-97.20367379999999,49.9410554
Alburg DR Manitoba,"Alburg Dr, Winnipeg, MB R2N, Canada",-97.1114515,49.8123021
Alcott ST Manitoba,"Alcott St, Winnipeg, MB R2Y, Canada",-97.28783349999999,49.8870564
Alcrest DR Manitoba,"Alcrest Dr, Winnipeg, MB R3R, Canada",-97.26238599999999,49.8676143
Alder Bay Manitoba,"Alder Bay, Winnipeg, MB R3R, Canada",-97.3211864,49.8554322
Alderbrook RD Manitoba,"Alderbrook Rd, Winnipeg, MB R2N 3W6, Canada",-97.0895178,49.815905
Aldershot BLVD Manitoba,"Aldershot Blvd, Winnipeg, MB R3P, Canada",-97.2172652,49.8613709
Alderwood RD Manitoba,"Alderwood Rd, Winnipeg, MB R2J, Canada",-97.08671609999999,49.8696091
Aldgate RD Manitoba,"Aldgate Rd, Winnipeg, MB R2N, Canada",-97.09268399999999,49.804757
Aldine ST Manitoba,"Aldine St, Winnipeg, MB R3J, Canada",-97.263921,49.880103
Aldrich AVE Manitoba,"Aldrich Ave, Winnipeg, MB R3K, Canada",-97.29208750000001,49.8742684
Alenbrook Bay Manitoba,"Alenbrook Bay, Winnipeg, MB R3R, Canada",-97.2720899,49.8471997
Alex Taylor DR Manitoba,"Alex Taylor Dr, Winnipeg, MB R2C, Canada",-96.96297179999999,49.9043688
Alexander AVE Manitoba,"Alexander Ave, Winnipeg, MB, Canada",-97.1687074,49.911896
Alfred AVE Manitoba,"Alfred Ave, Winnipeg, MB, Canada",-97.1513083,49.9219972
Alfred Penner Bay Manitoba,"Alfred Penner Bay, Winnipeg, MB R2G, Canada",-97.0453714,49.94180619999999
Algonquin AVE Manitoba,"Algonquin Ave, Winnipeg, MB R2G, Canada",-97.0536664,49.9463962
Alguire AVE Manitoba,"Alguire Ave, Winnipeg, MB R2Y, Canada",-97.2864003,49.88550439999999
Allan Blye DR Manitoba,"Allan Blye Dr, Winnipeg, MB R2P, Canada",-97.17192039999999,49.96233489999999
Allan Rouse CV Manitoba,"Allan Rouse Cove, Winnipeg, MB R2G, Canada",-97.0390301,49.9416346
Allan ST Manitoba,"Allan St, Winnipeg, MB R2L, Canada",-97.1077282,49.9076422
Allard AVE Manitoba,"Allard Ave, Winnipeg, MB R3K, Canada",-97.310537,49.87882279999999
Allbutt PL Manitoba,"Allbutt Pl, Winnipeg, MB R3R, Canada",-97.25879239999999,49.85427740000001
Allegheny DR Manitoba,"Allegheny Dr, Winnipeg, MB R3T, Canada",-97.15098210000001,49.7965078
Allen Dyne RD Manitoba,"Allen Dyne Rd, Winnipeg, MB R3H, Canada",-97.21548910000001,49.89718509999999
Allenby CR Manitoba,"Allenby Crescent, Winnipeg, MB R2C, Canada",-96.9797419,49.9063167
Allendale DR Manitoba,"Allendale Dr, Winnipeg, MB R3T, Canada",-97.1623513,49.78109629999999
Alloway AVE Manitoba,"Alloway Ave, Winnipeg, MB R3G, Canada",-97.16147389999999,49.8835065
Almey AVE Manitoba,"Almey Ave, Winnipeg, MB, Canada",-97.0566474,49.9023884
Almond Bay Manitoba,"Almond Bay, Winnipeg, MB R2J, Canada",-97.0862329,49.868996
Almondel Key Manitoba,"Almondel Key, Winnipeg, MB R3T, Canada",-97.16224659999999,49.7800336
Alpha ST Manitoba,"Alpha St, Winnipeg, MB R3Y 1S9, Canada",-97.218272,49.814729
Alpine AVE Manitoba,"Alpine Ave, Winnipeg, MB R2M, Canada",-97.0998867,49.8566114
Alsip DR Manitoba,"Alsip Dr, Winnipeg, MB R2R, Canada",-97.21882,49.9435139
Altamont ST Manitoba,"Altamont St, Winnipeg, MB R2P, Canada",-97.1665754,49.96006029999999
Altomare PL Manitoba,"Altomare Pl, Winnipeg, MB R2C, Canada",-96.97009,49.8995974
Alumni PL Manitoba,"Alumni Pl, Winnipeg, MB R3T, Canada",-97.16395899999999,49.8025805
Alverstone ST Manitoba,"Alverstone St, Winnipeg, MB, Canada",-97.1696542,49.8999149
Alwood CR Manitoba,"Alwood Crescent, Winnipeg, MB R2R, Canada",-97.21754,49.93741800000001
Amanda CR Manitoba,"Amanda Crescent, Winnipeg, MB R2V, Canada",-97.134568,49.9529675
Amarynth CR Manitoba,"Amarynth Crescent, Winnipeg, MB R2Y, Canada",-97.2861614,49.8857726
Ambassador Row Manitoba,"Ambassador Row, Winnipeg, MB R2V, Canada",-97.1324659,49.95114900000001
Amber Trail Manitoba,"Amber Trails, Winnipeg, MB R2P, Canada",-97.1694744,49.9644768
Ambergate DR Manitoba,"Ambergate Dr, Winnipeg, MB R2P, Canada",-97.1630692,49.9609116
Amberwood PL Manitoba,"Amberwood Pl, Winnipeg, MB R2R, Canada",-97.2119501,49.935716
Ambleside BLVD Manitoba,"Ambleside Blvd, Winnipeg, MB R3P, Canada",-97.21645339999999,49.84803729999999
Ambroise Lane Manitoba,"Ambroise Ln, Winnipeg, MB R2M, Canada",-97.1364128,49.8173147
Amelia CR Manitoba,"Amelia Crescent, Winnipeg, MB R2K, Canada",-97.0650498,49.9262135
Amersham CR Manitoba,"Amersham Crescent, Winnipeg, MB R2N, Canada",-97.09502599999999,49.8183409
Amethyst PL Manitoba,"Amethyst Pl, Winnipeg, MB R3Y, Canada",-97.2047999,49.8138753
Amherst ST Manitoba,"Amherst St, Winnipeg, MB R3J, Canada",-97.222006,49.8835288
Amundsen Bay Manitoba,"Amundsen Bay, Winnipeg, MB R3K, Canada",-97.2938953,49.8789794
Amy ST Manitoba,"Amy St, Winnipeg, MB R3B, Canada",-97.1340185,49.8995661
Anderson AVE Manitoba,"Anderson Ave, Winnipeg, MB R2W, Canada",-97.135025,49.923609
Andover AVE Manitoba,"Andover Ave, Winnipeg, MB R3P 0W5, Canada",-97.2201814,49.8507972
Andrews ST Manitoba,"St. Andrews, MB, Canada",-96.98417970000001,50.2625413
Anglia AVE Manitoba,"Anglia Ave, Winnipeg, MB R2P, Canada",-97.18612499999999,49.957185
Angood AVE Manitoba,"625 Portage Ave, Winnipeg, MB R3B 2G4, Canada",-97.15810300000001,49.8888614
Angus ST Manitoba,"Angus St, Winnipeg, MB R2W, Canada",-97.1168273,49.9048768
Annabella ST Manitoba,"Annabella St, Winnipeg, MB, Canada",-97.12166529999999,49.9048677
Anneville CR Manitoba,"Anneville Crescent, Winnipeg, MB R2P, Canada",-97.1822775,49.9583662
Ansell Court Manitoba,"Ansell Ct, Winnipeg, MB R2V, Canada",-97.0915931,49.9635363
Antoine AVE Manitoba,"Antoine Ave, Winnipeg, MB R2Y, Canada",-97.2868123,49.884815
Antrim RD Manitoba,"Antrim Rd, Winnipeg, MB R2K, Canada",-97.06911799999999,49.92056400000001
Apex ST Manitoba,"Apex St, Winnipeg, MB R3R, Canada",-97.25538379999999,49.85564369999999
Apex Way Manitoba,"Apex Way, Winnipeg, MB R3R, Canada",-97.2567531,49.855707
Appelmans Bay Manitoba,"Appelmans Bay, Winnipeg, MB R2N, Canada",-97.08845699999999,49.827061
Apple Hill RD Manitoba,"Apple Hill Rd, Winnipeg, MB R3Y, Canada",-97.200458,49.815499
Apple Lane Manitoba,"Apple Ln, Winnipeg, MB R2Y, Canada",-97.2839261,49.8998611
Appleby CV Manitoba,"Appleby Cove, Winnipeg, MB R2J, Canada",-97.0752346,49.8430666
Appleton ST Manitoba,"Appleton St, Winnipeg, MB R2G, Canada",-97.0907835,49.9463286
Appletree CR Manitoba,"Appletree Crescent, Winnipeg, MB R3Y, Canada",-97.1752903,49.8096501
Applewood Bay Manitoba,"Applewood Bay, Winnipeg, MB R2J, Canada",-97.085503,49.86770800000001
April ST Manitoba,"April St, Winnipeg, MB R3T, Canada",-97.13503299999999,49.8037545
Arbor Grove Manitoba,"Arbor Grove, Winnipeg, MB R2G, Canada",-97.0519278,49.94104369999999
Arbour Meadow Gate Manitoba,"Arbour Meadow Gate, Winnipeg, MB, Canada",-97.1746412,49.8069564
Arbroath DR Manitoba,"Arbroath Dr, Winnipeg, MB R2G, Canada",-97.0653044,49.9556213
Arbuthnot ST Manitoba,"Arbuthnot St, Winnipeg, MB R3M, Canada",-97.152896,49.8676164
Arby Bay Manitoba,"Arby Bay, Winnipeg, MB R2G, Canada",-97.0841744,49.9417309
Archibald ST Manitoba,"Archibald St, Winnipeg, MB, Canada",-97.0979634,49.8803382
Arden AVE Manitoba,"Arden Ave, Winnipeg, MB R2M, Canada",-97.1218634,49.8323784
Areisa Bay Manitoba,"Areisa Bay, Winnipeg, MB R2M, Canada",-97.1248362,49.8202705
Arena RD Manitoba,"31 Arena Rd, Plum Coulee, MB R0G 1R0, Canada",-97.75938049999999,49.193766
Argate DR Manitoba,"Argate Dr, Winnipeg, MB R2P, Canada",-97.189498,49.95988699999999
Argonne Bay Manitoba,"Argonne Bay, Winnipeg, MB R2J, Canada",-97.089759,49.86896300000001
Argue ST Manitoba,"Argue St, Winnipeg, MB R3L, Canada",-97.1486402,49.8546412
Argus RD Manitoba,"Argus Rd, Winnipeg, MB R2C, Canada",-96.99338639999999,49.9051509
Argus ST Manitoba,"Argus St, Winnipeg, MB R3J 3T3, Canada",-97.2557889,49.895225
Argyle ST Manitoba,"Argyle St, Winnipeg, MB R3B, Canada",-97.1291555,49.9026188
Argyle ST North Manitoba,"Argyle St N, Winnipeg, MB R2W, Canada",-97.128062,49.905868
Arklie PL Manitoba,"Arklie Pl, Winnipeg, MB R2V, Canada",-97.09168079999999,49.9667367
Arlington ST Manitoba,"Arlington St, Winnipeg, MB, Canada",-97.163355,49.9102279
Armour CR Manitoba,"Armour Crescent, Winnipeg, MB R3J, Canada",-97.27867200000001,49.87724799999999
Armoury AVE Manitoba,"Armoury Ave, Winnipeg, MB R3G, Canada",-97.17905499999999,49.891485
Armstrong AVE Manitoba,"Armstrong Ave, Winnipeg, MB R2V, Canada",-97.11406099999999,49.944288
Arnold AVE Manitoba,"Arnold Ave, Winnipeg, MB R3L, Canada",-97.1336505,49.8662661
Arpin Bay Manitoba,"Arpin Bay, Winnipeg, MB R3X, Canada",-97.05429939999999,49.8294028
Arrow ST Manitoba,"Arrow St, Winnipeg, MB R2R, Canada",-97.196467,49.933706
Arrowhead Court Manitoba,"Arrowhead Ct, Winnipeg, MB R2V, Canada",-97.1259632,49.9517721
Arrowwood DR North Manitoba,"Arrowwood Dr N, Winnipeg, MB R2V, Canada",-97.1488279,49.9458073
Arrowwood DR South Manitoba,"Arrowwood Dr S, Winnipeg, MB R2V, Canada",-97.15019219999999,49.9444817
Arthur Creak DR Manitoba,"Arthur Creak Dr, Winnipeg, MB R2Y, Canada",-97.2917657,49.8986359
Arthur ST Manitoba,"Arthur St, Winnipeg, MB R3B, Canada",-97.1410525,49.8972434
Arthur Wright CR Manitoba,"Arthur Wright Crescent, Winnipeg, MB R2P, Canada",-97.18694699999999,49.951077
Arthur Wright Way Manitoba,"Arthur Wright Way, Winnipeg, MB R2P, Canada",-97.18358669999999,49.9502244
Artillery ST Manitoba,"Artillery St, Winnipeg, MB R2X, Canada",-97.15881399999999,49.924433
Arundel RD Manitoba,"Arundel Rd, Winnipeg, MB R2J, Canada",-97.087949,49.87007
Ascot Bay Manitoba,"Ascot Bay, Winnipeg, MB R3R, Canada",-97.26197450000001,49.8543655
Ash ST Manitoba,"Ash St, Winnipeg, MB, Canada",-97.183279,49.863345
Ashburn ST Manitoba,"Ashburn St, Winnipeg, MB, Canada",-97.189336,49.89388899999999
Ashbury Bay Manitoba,"Ashbury Bay, Winnipeg, MB R2V, Canada",-97.13882579999999,49.946564
Ashcroft Point Manitoba,"Ashcroft Point, Winnipeg, MB R3J, Canada",-97.2673233,49.8725321
Ashdale AVE Manitoba,"Ashdale Ave, Winnipeg, MB R2H, Canada",-97.13270899999999,49.8770925
Ashern RD Manitoba,"Ashern Rd, Winnipeg, MB R2Y, Canada",-97.3041773,49.8975143
Ashford DR Manitoba,"Ashford Dr, Winnipeg, MB R2N, Canada",-97.09939539999999,49.8136739
Ashgrove Pointe Manitoba,"Grande Pointe, MB R5A 1H5, Canada",-97.03289199999999,49.759946
Ashland AVE Manitoba,"Ashland Ave, Winnipeg, MB R3L, Canada",-97.123246,49.863679
Ashley CV Manitoba,"Ashley Cove, Winnipeg, MB R2G, Canada",-97.0524982,49.92715579999999
Ashmore DR Manitoba,"Ashmore Dr, Winnipeg, MB R2P, Canada",-97.18043,49.95702
Ashton AVE Manitoba,"Ashton Ave, Beausejour, MB R0E 0C0, Canada",-96.5124713,50.0606928
Ashwood CV Manitoba,"Ashwood Cove, Winnipeg, MB R2J, Canada",-97.070325,49.850022
Ashworth ST Manitoba,"Ashworth St, Winnipeg, MB, Canada",-97.0950148,49.8286574
Ashworth ST South Manitoba,"Ashworth St S, Winnipeg, MB R2N, Canada",-97.086598,49.814649
Aspen CV Manitoba,"Aspen Cove, Winnipeg, MB R2J, Canada",-97.06198099999999,49.853006
Aspen Forest Pointe Manitoba,"Manitoba, Canada",-98.8138762,53.7608608
Aspenwood PL Manitoba,"Aspenwood Pl, Winnipeg, MB R2G, Canada",-97.08124819999999,49.9402396
Assiniboine AVE Manitoba,"Assiniboine Ave, Winnipeg, MB, Canada",-97.1482824,49.8823991
Assiniboine CR Manitoba,"Assiniboine Crescent, Winnipeg, MB R3J, Canada",-97.26264499999999,49.873857
Assiniboine Grove Manitoba,"Assiniboine Grove, Winnipeg, MB R3K, Canada",-97.31070919999999,49.8711113
Aster AVE Manitoba,"Aster Ave, Winnipeg, MB R2V, Canada",-97.1481245,49.938526
Astoria Point Manitoba,"Astoria Point, Winnipeg, MB R3Y, Canada",-97.203116,49.807118
Athlone DR Manitoba,"Athlone Dr, Winnipeg, MB R3J, Canada",-97.27288449999999,49.8837448
Atkinson RD Manitoba,"Atkinson Rd, Winnipeg, MB R3R 1Y8, Canada",-97.3141971,49.8491012
Atlantic AVE Manitoba,"Atlantic Ave, Winnipeg, MB, Canada",-97.141396,49.930818
Attache DR Manitoba,"Attache Dr, Winnipeg, MB R2V, Canada",-97.128406,49.94952490000001
Attache PL Manitoba,"Attache Pl, Winnipeg, MB R2V, Canada",-97.1274564,49.9482483
Attley PL Manitoba,"Attley Pl, Winnipeg, MB R3P, Canada",-97.18480609999999,49.8364015
Atwood ST Manitoba,"Atwood St, Winnipeg, MB R2C, Canada",-97.0314212,49.890999
Aubert ST Manitoba,"Rue Aubert, Winnipeg, MB R2H, Canada",-97.12324799999999,49.895831
Aubrey ST Manitoba,"Aubrey St, Winnipeg, MB R3G, Canada",-97.17515859999999,49.8810014
Audubon PL Manitoba,"Audubon Pl, Winnipeg, MB R3T 5A6, Canada",-97.16389290000001,49.814813
Augier AVE Manitoba,"Augier Ave, Winnipeg, MB R3K, Canada",-97.3200549,49.8746905
Augusta DR Manitoba,"Augusta Dr, Winnipeg, MB R3T, Canada",-97.16796149999999,49.8048612
Aulneau ST Manitoba,"Rue Aulneau, Winnipeg, MB R2H, Canada",-97.11885269999999,49.8885425
Aurora ST Manitoba,"Aurora St, Winnipeg, MB R3T, Canada",-97.1368856,49.800754
Austin ST Manitoba,"Austin St N, Winnipeg, MB R2W, Canada",-97.1314945,49.9091154
Austin ST North Manitoba,"Austin St N, Winnipeg, MB R2W, Canada",-97.1314945,49.9091154
Autumnlea Path Manitoba,"Autumnlea Path, Winnipeg, MB R2G, Canada",-97.06818190000001,49.9470669
Autumnwood DR Manitoba,"Autumnwood Dr, Winnipeg, MB R2J, Canada",-97.078248,49.861878
Avaco DR Manitoba,"Avaco Dr, Winnipeg, MB R2K, Canada",-97.0625936,49.9168075
Avalon RD Manitoba,"Avalon Rd, Winnipeg, MB R2M, Canada",-97.12615149999999,49.82535850000001
Avery DR Manitoba,"Avery Dr, Winnipeg, MB R2R, Canada",-97.1993583,49.936872
Avila AVE Manitoba,"Avila Ave, Winnipeg, MB R3T, Canada",-97.1324588,49.8000813
Avon Gate Manitoba,"Avon Gate, Winnipeg, MB R3P, Canada",-97.18440319999999,49.8429563
Avondale RD Manitoba,"Avondale Rd, Winnipeg, MB R2M, Canada",-97.10249449999999,49.8599292
Avonherst ST Manitoba,"Avonherst St, Winnipeg, MB R3M, Canada",-97.1619151,49.8721462
Avril Lane Manitoba,"Avril Ln, Winnipeg, MB R3R, Canada",-97.2634399,49.856571
Aylmer ST Manitoba,"Aylmer St, Winnipeg, MB R2R, Canada",-97.197687,49.94450399999999
Ayr BLVD Manitoba,"Ayr Blvd, Winnipeg, MB R3P, Canada",-97.22518889999999,49.8586165
Bachinsky ST Manitoba,"Bachinsky St, Winnipeg, MB R2C, Canada",-97.0568366,49.8926598
Bachman Bay Manitoba,"Bachman Bay, Winnipeg, MB R2P, Canada",-97.18808519999999,49.9591805
Baden Court Manitoba,"Baden Ct, Winnipeg, MB R2V, Canada",-97.0905133,49.9630513
Baffin CR Manitoba,"Baffin Crescent, Winnipeg, MB R3J, Canada",-97.2519303,49.8839483
Bailley AVE Manitoba,"Bailley Ave, Winnipeg, MB R2M, Canada",-97.11620889999999,49.8278623
Baird PL Manitoba,"Baird Pl, Winnipeg, MB R2G 3J9, Canada",-97.0583456,49.9449676
Bairdmore BLVD Manitoba,"Bairdmore Blvd, Winnipeg, MB R3T, Canada",-97.1697633,49.7857792
Baisinger DR Manitoba,"Baisinger Dr, Winnipeg, MB R2N, Canada",-97.089102,49.81262299999999
Baker Bay Manitoba,"Baker Bay, Brandon, MB R7A 2C6, Canada",-99.9212781,49.8474964
Balaban PL Manitoba,"Balaban Pl, Winnipeg, MB R2C, Canada",-97.056993,49.892301
Balcom CV Manitoba,"Balcom Cove, Winnipeg, MB R2R, Canada",-97.2100007,49.9390906
Baldry Bay Manitoba,"Baldry Bay, Winnipeg, MB R3T, Canada",-97.1405908,49.7949777
Balfour AVE Manitoba,"Balfour Ave, Winnipeg, MB R3L, Canada",-97.123126,49.862657
Balgona RD Manitoba,"Balgona Rd, Winnipeg, MB R2P, Canada",-97.1421735,49.979654
Balham ST Manitoba,"Balham St, Winnipeg, MB R2N, Canada",-97.0942152,49.814848
Ballard CR Manitoba,"Ballard Crescent, Winnipeg, MB R2V 1K6, Canada",-97.1121993,49.94099070000001
Balmoral ST Manitoba,"Balmoral St, Winnipeg, MB, Canada",-97.1526624,49.8907864
Balsam PL Manitoba,"Balsam Place, Winnipeg, MB R2H, Canada",-97.1335928,49.8751934
Baltimore RD Manitoba,"Baltimore Rd, Winnipeg, MB R3L, Canada",-97.1239444,49.8645447
Bancroft Bay Manitoba,"Bancroft Bay, Winnipeg, MB R2Y, Canada",-97.2991318,49.88991619999999
Banff PL Manitoba,"Banff Pl, Winnipeg, MB R2G, Canada",-97.0463407,49.937138
Bangor AVE Manitoba,"Bangor Ave, Winnipeg, MB R3E, Canada",-97.19420699999999,49.9134606
Bank AVE Manitoba,"Bank Ave, Winnipeg, MB R2M, Canada",-97.1013649,49.8611343
Bannatyne AVE Manitoba,"Bannatyne Ave, Winnipeg, MB, Canada",-97.15265199999999,49.901988
Bannatyne AVE West Manitoba,"Bannatyne Ave W, Winnipeg, MB, Canada",-97.1967095,49.9164126
Bannerman AVE Manitoba,"Bannerman Ave, Winnipeg, MB, Canada",-97.1419559,49.930099
Banning ST Manitoba,"Banning St, Winnipeg, MB, Canada",-97.17184019999999,49.8951761
Bannister RD Manitoba,"Bannister Rd, Winnipeg, MB R2R, Canada",-97.21069709999999,49.9228412
Banting DR Manitoba,"Banting Dr, Winnipeg, MB, Canada",-97.2885506,49.8803147
Bantry PL Manitoba,"Bantry Pl, Winnipeg, MB R2N, Canada",-97.1071036,49.8128957
Barbara CR Manitoba,"Barbara Crescent, Winnipeg, MB R3R, Canada",-97.31026849999999,49.8545785
Barber ST Manitoba,"Barber St, Winnipeg, MB R2W, Canada",-97.1258,49.90704419999999
Barberry RD Manitoba,"Barberry Rd, Winnipeg, MB R2J, Canada",-97.0842656,49.8663298
Bard BLVD Manitoba,"Bard Blvd, Winnipeg, MB R3P, Canada",-97.2230976,49.8536027
Bard PL Manitoba,"Bard Pl, Winnipeg, MB R3P, Canada",-97.22731209999999,49.8540822
Bardal Bay Manitoba,"Bardal Bay, Winnipeg, MB R2G, Canada",-97.07021499999999,49.933192
Bardsley PL Manitoba,"Bardsley Pl, Winnipeg, MB R3P, Canada",-97.2274391,49.8532403
Barker BLVD Manitoba,"Barker Blvd, Winnipeg, MB R3R, Canada",-97.318364,49.865113
Barlow CR Manitoba,"Barlow Crescent, Winnipeg, MB R2N, Canada",-97.09124399999999,49.814215
Barnes ST Manitoba,"Barnes St, Winnipeg, MB R3T, Canada",-97.16334800000001,49.7978989
Barnham CR Manitoba,"Barnham Crescent, Winnipeg, MB R2R, Canada",-97.22119359999999,49.9438523
Barnstaple CV Manitoba,"Barnstaple Cove, Winnipeg, MB R3R, Canada",-97.2751054,49.8629622
Barratt AVE Manitoba,"Barratt Ave, Winnipeg, MB R3G, Canada",-97.18784199999999,49.885496
Barrington AVE Manitoba,"Barrington Ave, Winnipeg, MB R2M, Canada",-97.1203864,49.8390873
Barriwood CV Manitoba,"Barriwood Cove, Winnipeg, MB R3P, Canada",-97.1996996,49.83107829999999
Barron DR Manitoba,"Barron Dr, Winnipeg, MB R3K, Canada",-97.30497500000001,49.868435
Barry AVE Manitoba,"Barry Ave, Winnipeg, MB R2C, Canada",-97.0261682,49.8920296
Bartlet AVE Manitoba,"Bartlet Ave, Winnipeg, MB R3L, Canada",-97.1274765,49.8664985
Barton AVE Manitoba,"Barton Ave, Winnipeg, MB R2M, Canada",-97.1004141,49.8496762
Basswood PL Manitoba,"Basswood Pl, Winnipeg, MB R3G, Canada",-97.1824228,49.8819667
Batchelor AVE Manitoba,"Batchelor Ave, Winnipeg, MB R3R, Canada",-97.26513539999999,49.8652643
Bates AVE Manitoba,"Bates Ave, Winnipeg, MB R2C, Canada",-97.01558870000001,49.8824666
Bathgate Bay Manitoba,"Bathgate Bay, Winnipeg, MB R3T, Canada",-97.1486072,49.836519
Battershill ST Manitoba,"Battershill St, Winnipeg, MB R2K, Canada",-97.06796810000002,49.9110532
Battery ST Manitoba,"1390 St James St, Winnipeg, MB R3H 0L1, Canada",-97.2003918,49.9058182
Battleford Bay Manitoba,"Battleford Bay, Winnipeg, MB R3Y, Canada",-97.205379,49.80930499999999
Baudoux PL Manitoba,"Baudoux Pl, Winnipeg, MB R2J, Canada",-97.07107,49.86976
Baxter Bay Manitoba,"Baxter Bay, Winnipeg, MB R2C, Canada",-96.97282450000002,49.9033358
Bayfield AVE Manitoba,"Bayfield Ave, Winnipeg, MB R2M, Canada",-97.0975584,49.8477412
Baylor AVE Manitoba,"Baylor Ave, Winnipeg, MB R3T, Canada",-97.1527904,49.78662449999999
Bayne CR Manitoba,"Bayne Crescent, Winnipeg, MB R2K 3Y8, Canada",-97.06656369999999,49.9258612
Bayridge AVE Manitoba,"Bayridge Ave, Winnipeg, MB R3T, Canada",-97.15308279999999,49.7976086
Bayshore CV Manitoba,"Bayshore Cove, Winnipeg, MB R2J, Canada",-97.0659809,49.8487889
Baytree Court Manitoba,"Baytree Ct, Winnipeg, MB R3P, Canada",-97.19865279999999,49.8331287
